地点,短评,出发时间,天数,人均费用,人物,玩法,浏览量
婺源,春天的婺源，油菜花开，宛如一幅诗情画意的水墨画,/2020/04/01,5,3000,三五好友,第一次 美食,9055
阿联酋,阿联酋｜小狮妹和父母的新年迪拜之旅,/2019/12/10,8,-,-,-,3860
AguadePau,来自《一个女生的古巴独行记》（11日自由行攻略）,/2019/09/27,11,20000,独自一人,深度游 美食 摄影 国庆,261
建水,云南│我什么也没忘，但有些事只适合收藏,/2019/10/10,8,4000,三五好友,穷游 摄影 古镇 赏秋 国庆,6176
日本,日本｜东京の72小时,/2019/09/21,8,-,-,-,1.2万
海宁,海洪宁静，盐潮入官，百里钱塘，春暖花开--驾“浙”观大潮访金庸、赏樱花睡房车,/2020/03/23,2,900,情侣,自驾 赏樱 踏春 清明,2.2万
敦煌,甘青│到远方去，到那个山野苍茫的远方，熟悉的地方没有景色,/2019/05/10,10,3500,三五好友,环游 毕业游 穷游,1.4万
慢行捷奥┃我的童话我的国,慢行捷奥┃我的童话我的国,/2019/10/01,10,10000,亲子,国庆,2266
荔波,贵州│小城故事多，献给远游客，愿你以梦相隔,/2019/03/21,4,-,独自一人,第一次 穷游,4359
加拿大大西洋四省旅行回忆录,加拿大大西洋四省旅行回忆录,/2019/06/23,15,-,-,-,3429
亚庇,全球疫情暴发前-马来西亚亚庇五天四夜游,/2020/01/30,5,2500,情侣,深度游 穷游 海滨海岛 春节,4109
清迈,泰国自驾小众路线这里才是真正的“慢生活”,/2020/01/19,15,4000,三五好友,第一次 深度游 自驾 春节,8846
"Bintan,在赤道岛国，奢享一场阳光的眷顾","Bintan,在赤道岛国，奢享一场阳光的眷顾",/2020/03/29,1,-,-,-,3739
穿越俄罗斯的民族脊梁，从海参崴到莫斯科、9288公里西伯利亚大铁路纪行,穿越俄罗斯的民族脊梁，从海参崴到莫斯科、9288公里西伯利亚大铁路纪行,/2015/10/16,30,9000,独自一人,深度游 穷游 摄影 国庆,1786
南召,向往的远方|青岛东方影都，圆一个小小影迷的打卡梦,/2020/03/29,1,-,-,-,1.4万
峨眉山,浴衣、大海、风铃、花火大会，一曲最美的仲夏风物诗,/2019/07/28,9,8000,情侣,深度游 环游 摄影 夏季 暑假,1676
山形市,塑料母女日本东北深度游（秋田&山形）,/2020/01/18,6,9000,亲子,深度游 美食 温泉 寒假,1.2万
双城周末，打个飞的去釜山喝咖灰,双城周末，打个飞的去釜山喝咖灰,/2020/03/29,1,-,-,-,3545
以色列,"以色列｜SHALOM,ISRAEL!（耶路撒冷/特拉维夫/海法/死海）",/2019/03/14,10,-,-,-,3720
上海,以生日之名，嗨翻冰雪春城奇幻之旅,/2020/03/28,1,-,-,-,6881
【日】遊夜遊2——暑假東京深度遊篇,【日】遊夜遊2——暑假東京深度遊篇,/2019/07/22,10,-,家庭,深度游 暑假,949
小狮妹日本平成最后の夏与秋（广岛-姬路-有马温泉-神户,小狮妹日本平成最后の夏与秋（广岛-姬路-有马温泉-神户,/2018/05/14,7,-,-,-,1528
龙口,在渤海之滨，看海赏花逛庙会，别样龙口五日行,/2020/03/27,1,-,-,-,1717
苏州,【深度苏州游】疫情恐惧下的2020，怀念苏韵满怀的2019,/2019/05/15,7,3000,独自一人,深度游 赏枫 夏季,903
景德镇,景德镇│半程颠沛，就当我为遇见你伏笔,/2018/09/30,4,-,闺蜜,国庆,1592
横跨亚欧非从伊朗德黑兰到埃及赫尔格达60天6国行摄之旅,横跨亚欧非从伊朗德黑兰到埃及赫尔格达60天6国行摄之旅,/2015/06/09,60,20000,情侣,深度游 环游 摄影 夏季,352
大连,小狮妹心动青春の旅行-新加坡&马代12日漫游记,/2018/08/01,13,-,-,-,4740
曼谷,泰囧-热情又活力的热带国家初体验,/2020/01/27,5,4000,三五好友,春节,1675
上海,以生日之名，致敬网红香港,/2020/03/26,3,8000,亲子,-,7762
莫干山,春日物语|细品草长莺飞、落英缤纷·莫干山轻松漫步二日,/2020/03/23,2,1000,三五好友,短途周末 摄影,8713
奥克兰,【维京游轮｜一场不想结束的欧洲游轮旅游（奥地利/匈牙利/德国/捷克/斯洛伐克）,/2018/06/23,12,-,-,-,3986
九寨沟,震后九寨沟强势归来，自驾五日游，冬日川西九寨怎么玩,/2019/12/04,7,4000,三五好友,自驾 摄影 冬季,8.3万
佛罗伦萨,美丽的亚平宁半岛20天环岛游--意大利（自驾、轮渡、火车...满满干货哦）,/2019/06/23,21,22000,情侣,深度游 自驾,1596
巴拉望,2020年菲律宾深度自助游，选岛全攻略（送给海岛控们！）,/2020/03/25,1,-,-,-,6.3万
滨松市,庆北三日，解锁你不知道的文化Korea,/2019/06/14,1,-,情侣,-,5628
