Data Analyst (Python) - Digital Solutions - SZ/HK,PwC 普华永道,深圳,-,04-03,"['深圳\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa004-03发布\xa0\xa0', '\xa0\xa0英语良好']",外资（欧美）,1000-5000人,"专业服务(咨询、人力资源、财会),会计/审计","Responsibilities:Building and applying data analysis algorithms (data mining, machine learning, natural language processing, sentiment analysis, text mining, etc.) to analyze large amounts of data;Designing, developing solutions leveraging big data analysis technology (Python,R,SAS, etc.);Leveraging analysis data platforms as needed and recommending and building new data solutions as required to exceed business requirements;Emonstrating deep understanding of and ability to tech data science, concepts, tools, features, functions and benefits of different approaches to apply them.Requirements:Bachelor in Computer Science/ Engineering/ Statistics/ Actuarial/ Applied Mathematics/ Business Analysis/ Data Science or other relevant discipline;Has deep understanding and some practices of the System Implementation, Big Data, Machine Learning, Deep Learning, NLP, and other technical related concepts;Coding experience in software like Python is a MUST. SAS, R,  etc. would be ideal but not a must;Have the python develop experience more than 1 years;Experience in using packages such as pandas, numpy, sklearn and familiar with ML models like GBDT and xgboost would be a plus;Familiar with industry dynamics of data big data analysis, equipped with various technical knowledge of data processing and relevant skills;Excellent communication and presentation skills;Fluent English and Chinese.                                                         职能类别：软件工程师                                        微信分享"
Python开发工程师 五险一金,杭州爱掌科技有限公司,杭州,1-1.5万/月,04-03,"['杭州\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,50-150人,互联网/电子商务,岗位职责：1.负责python，培养python团队2.写爬虫、数据分析、统计等，完成公司的相关任务岗位要求1.3年以上的python开发经验，有独立完成和解决问题的能力2.参与过大型项目，有自动化系统架构经验（移动端爬虫优先）3.熟悉Django管理后台4.有带人经验优先、有自动化系统架构经验                                                        职能类别：移动开发工程师软件工程师                                        关键字：python爬虫工程师                            微信分享
Java/python实习生(集成2041),北京南天软件有限公司,北京,0.6-1万/月,04-03,"['北京\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招10人\xa0\xa0', '\xa0\xa004-03发布']",上市公司,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",岗位职责：1、参与JAVA/python技术的相关系统设计、开发、测试工作； 2、开发和维护公司企业运营平台；3、开发和维护公司运维开发平台的建设及相关运维工具的研发；4、配合团队其他成员进行模块开发及整合。任职要求：1、一本以上学历，计算机网络及软件工程相关专业； 2、JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解； 3、熟悉 Python及常用的 Web 开发框架（django）； 4、对大数据感兴趣，对云计算有一定的认知，对移动端设备有一定了解； 5、学习能力强，拥有优秀的逻辑思维能力与自我管理能力以及团队合作能力。                                                        职能类别：Java开发工程师Python开发工程师                                        微信分享
Python开发工程师,郑州郑大信息技术有限公司,郑州-高新区,6-8千/月,04-03,"['郑州-高新区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,150-500人,计算机软件,"1.完成所承担功能模块的开发与单元测试任务；2.完成所承担功能模块与其他模块的集成、部署、修改、重构与调优；3.根据公司的要求编写相关的技术文档：撰写所承担功能模块的设计说明书、开发说明书、测试与部署文档等。任职要求：1、熟悉python，三年以上PYTHON开发经验。2、了解C++,能够看懂理解C++代码。3、熟悉期货交易。4、了解量化交易相关机理及模式。                                                        职能类别：软件工程师                                        微信分享"
Python开发工程师,上海迅时通信设备有限公司,上海-徐汇区,1-1.5万/月,04-03,"['上海-徐汇区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa004-03发布']",外资（欧美）,50-150人,"通信/电信/网络设备,计算机服务(系统、数据服务、维修)",非常时期，远程面试工作职责：1、负责应用类软件的设计和开发；2、负责撰写相关的设计、开发类技术文档岗位要求：1、计算机、通信相关专业本科及以上学历，具有3年以上相关软件开发经验；2、了解主流的框架、库使用和原理；3、具备Linux操作系统基础知识，握基本的网络编程等知识技巧；4、熟悉SIP协议，有开源数据库（MySQL、PostgreSQL等）研究和开发经验优先考虑；5、具有良好的团队合作精神，较强的责任心、良好的学习能力和沟通能力                                                        职能类别：Python开发工程师                                        关键字：Python                            微信分享
高级讲师（编程Python\C++）,杭州童乐码科技有限公司,杭州-上城区,0.8-1万/月,04-03,"['杭州-上城区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa004-03发布\xa0\xa0', '\xa0\xa0计算机应用']",创业公司,少于50人,"教育/培训/院校,学术/科研",1、负责编写整理课程教案，实施课程的教学；2.  根据要求撰写和优化教学课件；3、出色的完成教学任务，可以与家长良好的沟通。任职要求：1、计算机相关专业本科以上学历；2、精通Python\ C++、算法、数据结构相关知识优先；3、有1-2年计算机编程、机器人培训经验或教学相关经历优先。4、热爱教育事业，善于沟通，学习能力强；                                5  、具有良好的团队合作的精神、责任心强。                                                        职能类别：其他                                        微信分享
Python开发工程师,江苏康行信息技术有限公司,南京-江宁区,1-1.5万/月,04-03,"['南京-江宁区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,50-150人,计算机服务(系统、数据服务、维修),岗位要求：1、C#或者python基础扎实，热爱编程工作。2、能熟练使用C#或者python进行软件开发。3、有两年以上程序开发工作经验，了解基本数据结构与算法基础。4、熟悉AutoCAD或者Revit的基本操作。5、具有良好的软件开发规范习惯、团队合作精神，擅于沟通与学习能力的;善于学习，独立思考能力强。6、熟悉计算机图形学和计算机三维绘图原理，具备扎实的计算机图像处理基础知识优先。7、工民建相关专业的程序员优先。8、熟悉REVIT的API编程的程序员优先。                                                        职能类别：Python开发工程师C/C++开发工程师                                        关键字：python软件开发软件工程师C#开发BIM.NET                            微信分享
Python开发工程师,叠金数据运营管理有限公司,重庆-渝中区,0.6-1万/月,04-03,"['重庆-渝中区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招5人\xa0\xa0', '\xa0\xa004-03发布\xa0\xa0', '\xa0\xa0软件工程']",民营公司,50-150人,计算机服务(系统、数据服务、维修),"1、根据开发计划，设计软件模块，完成软件模块源代码编写，实现开发需求规定的功能；2、根据开发需求，完成开发文档，提出模块设计的规划；3、根据开发文档，制定详细的开发计划；4、按要求完成其他相关工作。任职要求：1.本科或以上学历,计算机相关专业2.熟悉python语言web开发，二年以上开发经验；有人工智能 AI工作经验~3.熟悉django/tornado/Flask等python框架，有大开发项目经验优先；4.熟悉mysql数据库开发与优化，对数据库有较强的设计能力；5.熟悉nginx的配置优化者优先6.良好的编码习惯，有强烈的责任心及良好的团队合作精神                                                        职能类别：Python开发工程师高级软件工程师                                        关键字：python软件开发开发                            微信分享"
Python开发工程师,宁夏秦宇科技有限公司,银川,3-5千/月,04-03,"['银川\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招3人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,少于50人,计算机软件,熟练掌握python熟练掌握django框架有项目精力有限良好的团队协作能力有责任心                                                        职能类别：Python开发工程师                                        微信分享
Java或php  python工程师,北林源境工程设计中心,西安-高新技术...,0.8-1万/月,04-03,"['西安-高新技术产业开发区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,50-150人,"建筑/建材/工程,房地产",1:要求能做手机网站程序2:知晓微信小程序的开发与架构3:修改pc网站4:网站平时的维护与检测                                                        职能类别：Java开发工程师Python开发工程师                                        微信分享
知识管理员（数据库、Python）,广东亚太创新经济研究院,广州-天河区,6-8千/月,04-03,"['广州-天河区\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa004-03发布']",非营利组织,50-150人,"专业服务(咨询、人力资源、财会),学术/科研",？岗位职责：1.  牵头推进数据库建设工作，与供应商对接合作完成粤港澳大湾区产业数据的采集、存储、检索、分析建模、可视化等工作；2.  定期搜集产业资讯、市场动态、业界最新研究成果等，根据业务动态更新对知识内容进行系统、全面、精确的分类和有力的沉淀管理，使知识内容融入到工作场景，帮助提升工作效率和研究质量；3.  对项目成果框架、模型进行提炼、收集，进行经验总结和沉淀，整理提升团队工作效率；4.  参与项目管理工作，对入库的项目资料进行核查、整理；5.  完成部门负责人交办的其他工作。岗位要求：1.  本科及以上学历，图书情报、档案管理、科技管理、信息资源管理等专业优先，有相关工作经验者优先；2.  熟练使用办公软件，熟悉档案管理流程、规范和应用专业技术标准；3.  具备扎实的科技档案管理基础知识，具备一定的信息资源管理、知识管理、情报管理能力；3.  能够熟练运用Python等编程语言进行数据采集、分析建模等工作；4.  较强的口头与文字表达能力、学习能力、沟通协调能力，团队合作能力，具备一定的组织能力。                                                        职能类别：数据采集工程师图书管理员/资料管理员                                        关键字：数据库知识管理爬虫Python                            微信分享
