IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
163.204.240.35,9999,高匿名,HTTP,广东省汕尾市  联通,1秒,2020-04-24 09:31:01
113.195.16.66,9999,高匿名,HTTP,江西省九江市  联通,3秒,2020-04-24 08:31:01
27.43.188.27,9999,高匿名,HTTP,广东省揭阳市  联通,1秒,2020-04-24 07:31:02
113.208.115.190,8118,高匿名,HTTP,北京市朝阳区 北京商务中心区通信科技有限公司 电信,0.4秒,2020-04-24 06:31:01
125.110.100.170,9000,高匿名,HTTP,浙江省温州市  电信,0.8秒,2020-04-24 05:31:01
1.198.72.19,9999,高匿名,HTTP,河南省济源市  电信,3秒,2020-04-24 04:31:01
121.232.199.174,9000,高匿名,HTTP,江苏省镇江市  电信,3秒,2020-04-24 03:31:01
106.110.65.16,8118,高匿名,HTTP,江苏省徐州市  电信,2秒,2020-04-24 02:31:01
163.204.246.152,9999,高匿名,HTTP,广东省汕尾市  联通,2秒,2020-04-24 01:31:02
60.168.207.82,1133,高匿名,HTTP,安徽省合肥市  电信,3秒,2020-04-24 00:31:01
183.166.21.218,9999,高匿名,HTTP,安徽省淮南市  电信,3秒,2020-04-23 23:31:01
122.243.13.206,9000,高匿名,HTTP,浙江省金华市  电信,0.5秒,2020-04-23 22:31:01
110.243.2.66,9999,高匿名,HTTP,河北省唐山市  联通,0.9秒,2020-04-23 21:31:01
171.13.203.95,9999,高匿名,HTTP,河南省鹤壁市  电信,3秒,2020-04-23 20:31:01
163.204.245.179,9999,高匿名,HTTP,广东省汕尾市  联通,2秒,2020-04-23 19:31:02
